sha256,size_bytes,path,origem,classificacao
b091960afc46d34390c46e19d7f619f38d6bbf64dc871234bd2f017a55b24db6,1827,docs/missions/AGENT-FACTORY-DBTWIN-002/MATRIZ_DEPENDENCIA_FASE01.md,session-2026-08-02,CANONICAL_ACTIVE
fca01fa9a0a49268500e1a14d78ed21a69c099426fdb98eab8f7c6f768b0d8d4,6930,docs/missions/AGENT-FACTORY-DBTWIN-002/MATRIZ_RASTREABILIDADE.md,session-2026-08-02,CANONICAL_ACTIVE
852c948bec30232522d9ed6ddd9a587678554562d773665acbd3a3925b94f141,4727,docs/missions/AGENT-FACTORY-DBTWIN-002/ORIGEM_SCHEMA_ONLY.md,session-2026-08-02,CANONICAL_ACTIVE
5eddf162725a3a50673539962cb6955f0298b226d89c498113074645c20ec078,11198,docs/missions/AGENT-FACTORY-DBTWIN-002/PLAN_DBTWIN_002.md,session-2026-08-02,CANONICAL_ACTIVE
52c7f761a04ac7507d585f9672a290977d2e02fee36fb25d49e92aacfb17e482,1596,docs/missions/AGENT-FACTORY-DBTWIN-002/README.md,session-2026-08-02,CANONICAL_ACTIVE
d0492d8980b57dd77a1bae108071652ad5622d41ad161a39b0c08dceacdd35db,2704,docs/missions/AGENT-FACTORY-DBTWIN-002/specs/EVIDENCE_MANIFEST_SPEC.md,session-2026-08-02,CANONICAL_ACTIVE
008b716b00d2cdf3ccd1d791c1dba8a69a6085e6097f259b7972dd99475bb847,4641,docs/missions/AGENT-FACTORY-DBTWIN-002/specs/FINGERPRINT_SPEC.md,session-2026-08-02,CANONICAL_ACTIVE
042404e895a74d68d4e3ee48f3d38ebe7ca030e8ba228cec9dd77bf14e6739c6,3071,docs/missions/AGENT-FACTORY-DBTWIN-002/specs/PACKAGE_IMPORT_MANIFEST.md,session-2026-08-02,CANONICAL_ACTIVE
3581b21755815c7e6acdab73a0d660e2c71987ae820aff2e99d578a1fa726cae,1538,docs/missions/AGENT-FACTORY-DBTWIN-002/specs/SCHEMA_INVENTORY_SPEC.md,session-2026-08-02,CANONICAL_ACTIVE
af0e3b81de16c7d20967d34e08ff768219523a3be692779db64b90d411d713ba,2017,docs/missions/AGENT-FACTORY-DBTWIN-002/specs/SCHEMA_SOURCE_MANIFEST.md,session-2026-08-02,CANONICAL_ACTIVE
d0e2162de8eb604910febba9f0bd94123e9abe7b691669cfdbbcaf6fc6225eff,5333,docs/missions/AGENT-FACTORY-DBTWIN-002/VALIDACAO_SUPABASE.md,session-2026-08-02,CANONICAL_ACTIVE
a83456e69e8556eac8b114655b40405cac73506c46a182069daaa7c607ed106c,7936,docs/missions/AGENT-FACTORY-DBTWIN-002/VERSIONAMENTO_GIT.md,session-2026-08-02,CANONICAL_ACTIVE
a12f9ae2a721ff290da98a2e0fadc264c232a992391eca55808c22d0a252d5f6,1825,docs/missions/AGENT-FACTORY-REPO-001/BOOTSTRAP_GIT.md,session-2026-08-02,CANONICAL_ACTIVE
6511ad5f4d831ae13ec7aff23e6444299c17cbb2634bcab27656b77f5cfbc64c,1267,docs/missions/AGENT-FACTORY-REPO-001/FIRST_PR_BODY.md,session-2026-08-02,CANONICAL_ACTIVE
dc0ae694b453a37eab87b296db5e3f668bbc55388fe22b3f34723baa8a16e6ff,18656,docs/missions/AGENT-FACTORY-REPO-001/MISSAO_AGENT-FACTORY-REPO-001.md,session-2026-08-02,CANONICAL_ACTIVE
e961b754c72a9e0f540f2a19356241b004d60eafbb1d6828cb7b398673a1385c,3323,docs/missions/AGENT-FACTORY-REPO-001/RESPOSTA_PARECER_GPT.md,session-2026-08-02,CANONICAL_ACTIVE
76b9df208d951e0d0d09d6f0661c9d9b2330f7151306c17b588a4eb1228b0e8a,3060,docs/prompts/PROMPT_DBTWIN_002.md,session-2026-08-02,CANONICAL_ACTIVE
91b68d743b41d0f7b557c050086cb457509510868d132c689d9e55e6c01e0e67,23,docs/references/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
ebc18278e549fb171474492b384ecc59ea80030539c168870675a5fdeb5d73c8,23,docs/runbooks/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
f8bd57edd69dd9cd2d7ccd7757d8be3db9ef995994a0131e3a8a5320a3203c5b,3157,docs/sessions/2026/2026-08-02/SESSION_2026-08-02-REPO-001-01.md,session-2026-08-02,CANONICAL_ACTIVE
813072b8be6ab8e4ad6cfd3250c11bbe46b1200011928486908039ac51f66e6b,49,evidence/hashes/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
40aafe6018a6652e9591b15d01b4cfa07681546383e44886117e5c2ea9aa5a28,3533,evidence/hashes/MODULE_IMPORT_2026-08-02.csv,session-2026-08-02,CANONICAL_ACTIVE
bfce5e333a70135b0f6fa3c470aee26c8a060c56ca89c04f534b90bb9eb0f57f,1150,evidence/manifests/EXCHANGE_MANIFEST_SKELETON.json,session-2026-08-02,CANONICAL_ACTIVE
5c7971a000ed25a575e521466e20b8afeabb4a3e7585960e6da888246e05a5f0,532,evidence/manifests/FREEZE_MANIFEST_SKELETON.json,session-2026-08-02,CANONICAL_ACTIVE
4638382f65edc5d53473e3bd4e250abed9aef49e35cea044faca5ae7a2413799,880,evidence/manifests/RECONCILIATION_MATRIX_SKELETON.json,session-2026-08-02,CANONICAL_ACTIVE
abf400a0bd445162e8a0221869baf2cd2223adbd63169be84aeb020f928129fa,55,evidence/reports/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
0a39a181966fc2b7cb24dac54783587f79ba59140d6a3de54e5df4f077d3dfa0,2314,evidence/reports/BROKEN_REFERENCES.md,session-2026-08-02,CANONICAL_ACTIVE
015c38c2ffbfe699b6944bab8551ada9b62c6134c66ab50da1e76d816dd6a28e,81,evidence/small-artifacts/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
9b6858f31d43e2217747bce7e32cb810d5fde4d24c2d6d2a9c1d3a230c345aae,2834,GOVERNANCE.md,session-2026-08-02,CANONICAL_ACTIVE
312ad620897796e9bea353740509754a40113ed7e351ad03f788703f63bea2d4,1941,MANIFESTO_ORGANIZACAO_v1.md,session-2026-08-02,CANONICAL_ACTIVE
c5ed29021d4f15e588206633c1875570ca74e5e567195ca0b74182b2b2538fb8,274,package/stein-db-twin/.gitignore,session-2026-08-02,MODULE_CODE
83264f99f50b9d428f22de87a9e8ef5252a0303c96215218ca551fcb616b0885,3049,package/stein-db-twin/_IMPORT_STATUS.md,session-2026-08-02,MODULE_CODE
be255e2ee53f6828ed52681c84c6b388b82326f8cb4586256c30994beaa6121a,2105,package/stein-db-twin/config/columns.json,session-2026-08-02,MODULE_CODE
b80e59fe155a675ad3b8f6ddca319fd20a07319b6d2f1291289c03634b4a016a,934,package/stein-db-twin/config/docker-compose.yml,session-2026-08-02,MODULE_CODE
cbdc9015561d5a9292a1e563e4744a5a17fc69d6c370bda8449dc73926ba9fb3,2702,package/stein-db-twin/docs/CHANGELOG_v0.2.md,session-2026-08-02,MODULE_CODE
acf7997699db3ca4483a0b2a59fd64721586a38e3e6a505b29606e1f020e8ef5,1839,package/stein-db-twin/docs/MISSION_TEMPLATE.md,session-2026-08-02,MODULE_CODE
2a0a590dd9d5eaa93e366974c0af6089cd1bdabd2d1e4557555178b68d3888c3,2143,package/stein-db-twin/docs/RUNBOOK.md,session-2026-08-02,MODULE_CODE
8fbce77edbe933cf5dd99e336764aed922a5304be5dd1a118489dc54f9e48df1,830,package/stein-db-twin/policies/human-gates.json,session-2026-08-02,MODULE_CODE
20416a3019006f991f487b1aab93bf0d21c2784c57fa6b59d6b15f3924de9370,755,package/stein-db-twin/policies/permissions.json,session-2026-08-02,MODULE_CODE
5b697bedaab6a8559431bce5065456e6415c19880c2e6d21da9d97213dbe3203,3111,package/stein-db-twin/README.md,session-2026-08-02,MODULE_CODE
01a9b37ca1736a53b3252bd82db8eabfe793d955063d5335503976e8a724c4e0,11209,package/stein-db-twin/sanitizer/sanitize_v2.py,session-2026-08-02,MODULE_CODE
2e58cc1d695e37ff91c9fc25e08d7c141db87d9dd97191f847e3c6b888f6dc80,1412,package/stein-db-twin/scripts/01_dump_homolog.ps1,session-2026-08-02,MODULE_CODE
5123b6b41769db9cb565f4c2656c497e30a816889ac9600787794d6a6ff49e3e,2059,package/stein-db-twin/scripts/02_sanitize.ps1,session-2026-08-02,MODULE_CODE
41e04a1fba1208034c2ad170a32896507016931c571d0b5942388734f612d74e,1127,package/stein-db-twin/scripts/03_start_local.ps1,session-2026-08-02,MODULE_CODE
86e085910e7ccb183848505603bd3b8e419b0576c7e1462fc61e9799059e7b29,2674,package/stein-db-twin/scripts/04_restore_mission.ps1,session-2026-08-02,MODULE_CODE
2517f556804ed5052be78a7a0314cfbd6bb8b81069e60c1d201fd8b7bf452daa,796,package/stein-db-twin/seeds/seed_7730.sql,session-2026-08-02,MODULE_CODE
fe6f4464516115525e9d89e5216ba44d304caf47561010a563f64e510900ac4d,3776,README.md,session-2026-08-02,CANONICAL_ACTIVE
fe81d89d731f76889ab868edeca7c765c4d73cae49de54afdb8a89283a00769f,1069,SECURITY.md,session-2026-08-02,CANONICAL_ACTIVE
d532d5b2404f4794fa04e8ca7d3c0b6c2cf23d80c62b31fc2ce99f9290ebac12,2273,SESSION_CLOSE_PROTOCOL.md,session-2026-08-02,CANONICAL_ACTIVE
e684528d44760e4df2e7bfacc9eae8f8a2938de8d2ab04433d280f9c9240d5a2,86,templates/audit/AUDIT_TEMPLATE.md,session-2026-08-02,CANONICAL_ACTIVE
a93845502fe130350742dc6103eb302d2d37de1b554714e70f98911494f70136,322,templates/decision/DECISION_TEMPLATE.md,session-2026-08-02,CANONICAL_ACTIVE
59e93f3b3fbea746cb5c5050541a66dfa05d2d3969c9e7370b1b686b39682843,81,templates/handoff/HANDOFF_TEMPLATE.md,session-2026-08-02,CANONICAL_ACTIVE
cc425c8eed8d81a9e96b34aa6aef4deb96107e15c097ef6f497090b4cbb70931,288,templates/mission/MISSION_TEMPLATE.md,session-2026-08-02,CANONICAL_ACTIVE
0a2208287c86d867c14c2b5f8fe2ab11ea8e8a3cae6effa257f5f97e9e72c0f7,214,templates/pull-request/PULL_REQUEST_TEMPLATE.md,session-2026-08-02,CANONICAL_ACTIVE
649225bbcb05ff1bf1d19021c91039c92759ecc0edaa96965244fc0201434ba4,5984,tools/inventory/INVENTARIO_READONLY.ps1,session-2026-08-02,CANONICAL_ACTIVE
b1d5fce31b37ce1f22d27187ab75788f1e22d13f02999edf982380faeffcd2ef,47,tools/session-close/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
3fc598fb25ce38b6852f01248e0f81394c3b4f1783db22394296b97d2d7dab53,64,tools/validation/.gitkeep,session-2026-08-02,GENERATED_ARTIFACT
